Geography,Gender,Age group,Reference period,Net-migration
,,90 years and older,2014 / 2015,-41
,,,2015 / 2016,-35
,,,2016 / 2017,30
,,,2017 / 2018,35
,,,2018 / 2019,33
,,,2019 / 2020,35
,,,2020 / 2021,30
,,,2021 / 2022,18
,,,2022 / 2023,21
,,,2023 / 2024,38
,Women,0 years,2014 / 2015,-28
,,,2015 / 2016,-317
,,,2016 / 2017,-155
,,,2017 / 2018,-52
,,,2018 / 2019,-32
,,,2019 / 2020,-40
,,,2020 / 2021,-100
,,,2021 / 2022,138
,,,2022 / 2023,433
,,,2023 / 2024,408
,,1 year,2014 / 2015,14
,,,2015 / 2016,-252
,,,2016 / 2017,-162
,,,2017 / 2018,-65
,,,2018 / 2019,-43
,,,2019 / 2020,-49
,,,2020 / 2021,-107
,,,2021 / 2022,106
,,,2022 / 2023,468
,,,2023 / 2024,412
,,2 years,2014 / 2015,48
,,,2015 / 2016,-202
,,,2016 / 2017,-165
,,,2017 / 2018,-68
,,,2018 / 2019,-50
,,,2019 / 2020,-57
,,,2020 / 2021,-114
,,,2021 / 2022,46
,,,2022 / 2023,340
,,,2023 / 2024,320
,,3 years,2014 / 2015,64
,,,2015 / 2016,-164
,,,2016 / 2017,-165
,,,2017 / 2018,-73
,,,2018 / 2019,-54
,,,2019 / 2020,-58
,,,2020 / 2021,-114
,,,2021 / 2022,18
,,,2022 / 2023,301
,,,2023 / 2024,296
,,4 years,2014 / 2015,76
,,,2015 / 2016,-136
,,,2016 / 2017,-160
,,,2017 / 2018,-72
,,,2018 / 2019,-55
,,,2019 / 2020,-58
,,,2020 / 2021,-112
,,,2021 / 2022,13
,,,2022 / 2023,348
,,,2023 / 2024,302
,,5 to 9 years,2014 / 2015,331
,,,2015 / 2016,-518
,,,2016 / 2017,-631
,,,2017 / 2018,-271
,,,2018 / 2019,-190
,,,2019 / 2020,-197
,,,2020 / 2021,-422
,,,2021 / 2022,238
,,,2022 / 2023,"1,471"
,,,2023 / 2024,"1,438"
,,10 to 14 years,2014 / 2015,182
,,,2015 / 2016,-548
,,,2016 / 2017,-311
,,,2017 / 2018,-38
,,,2018 / 2019,4
,,,2019 / 2020,6
,,,2020 / 2021,-166
,,,2021 / 2022,291
,,,2022 / 2023,"1,209"
,,,2023 / 2024,"1,238"
,,15 to 19 years,2014 / 2015,730
,,,2015 / 2016,-316
,,,2016 / 2017,-258
,,,2017 / 2018,75
,,,2018 / 2019,68
,,,2019 / 2020,63
,,,2020 / 2021,-154
,,,2021 / 2022,97
,,,2022 / 2023,746
,,,2023 / 2024,866
,,20 to 24 years,2014 / 2015,"2,907"
,,,2015 / 2016,634
,,,2016 / 2017,239
,,,2017 / 2018,642
,,,2018 / 2019,431
,,,2019 / 2020,373
,,,2020 / 2021,114
,,,2021 / 2022,565
,,,2022 / 2023,"1,701"
,,,2023 / 2024,"2,291"
,,25 to 29 years,2014 / 2015,"2,033"
,,,2015 / 2016,"-1,045"
,,,2016 / 2017,-986
,,,2017 / 2018,-113
,,,2018 / 2019,95
,,,2019 / 2020,168
,,,2020 / 2021,-714
,,,2021 / 2022,744
,,,2022 / 2023,"2,811"
,,,2023 / 2024,"3,272"
,,30 to 34 years,2014 / 2015,"1,164"
,,,2015 / 2016,-795
,,,2016 / 2017,"-1,241"
,,,2017 / 2018,-627
,,,2018 / 2019,-461
,,,2019 / 2020,-464
,,,2020 / 2021,-993
,,,2021 / 2022,253
,,,2022 / 2023,"2,795"
,,,2023 / 2024,"2,800"
,,35 to 39 years,2014 / 2015,668
,,,2015 / 2016,-753
,,,2016 / 2017,-689
,,,2017 / 2018,-275
,,,2018 / 2019,-171
,,,2019 / 2020,-162
,,,2020 / 2021,-537
,,,2021 / 2022,11
,,,2022 / 2023,"1,817"
,,,2023 / 2024,"1,807"
,,40 to 44 years,2014 / 2015,657
,,,2015 / 2016,-369
,,,2016 / 2017,-258
,,,2017 / 2018,26
,,,2018 / 2019,101
,,,2019 / 2020,131
,,,2020 / 2021,-176
,,,2021 / 2022,0
,,,2022 / 2023,"1,281"
,,,2023 / 2024,"1,269"
,,45 to 49 years,2014 / 2015,1
,,,2015 / 2016,-482
,,,2016 / 2017,-396
,,,2017 / 2018,-255
,,,2018 / 2019,-204
,,,2019 / 2020,-201
,,,2020 / 2021,-314
,,,2021 / 2022,-80
,,,2022 / 2023,686
,,,2023 / 2024,766
,,50 to 54 years,2014 / 2015,-102
,,,2015 / 2016,-495
,,,2016 / 2017,-555
,,,2017 / 2018,-393
,,,2018 / 2019,-319
,,,2019 / 2020,-327
,,,2020 / 2021,-434
,,,2021 / 2022,-162
,,,2022 / 2023,337
,,,2023 / 2024,527
,,55 to 59 years,2014 / 2015,-144
,,,2015 / 2016,-477
,,,2016 / 2017,-550
,,,2017 / 2018,-396
,,,2018 / 2019,-323
,,,2019 / 2020,-326
,,,2020 / 2021,-427
,,,2021 / 2022,-273
,,,2022 / 2023,372
,,,2023 / 2024,586
,,60 to 64 years,2014 / 2015,-97
,,,2015 / 2016,-377
,,,2016 / 2017,-286
,,,2017 / 2018,-170
,,,2018 / 2019,-120
,,,2019 / 2020,-117
,,,2020 / 2021,-206
,,,2021 / 2022,107
,,,2022 / 2023,545
,,,2023 / 2024,870
,,65 to 69 years,2014 / 2015,-86
,,,2015 / 2016,-8
,,,2016 / 2017,5
,,,2017 / 2018,124
,,,2018 / 2019,130
,,,2019 / 2020,112
,,,2020 / 2021,34
,,,2021 / 2022,321
,,,2022 / 2023,729
,,,2023 / 2024,913
,,70 to 74 years,2014 / 2015,91
,,,2015 / 2016,150
,,,2016 / 2017,120
,,,2017 / 2018,196
,,,2018 / 2019,192
,,,2019 / 2020,192
,,,2020 / 2021,145
,,,2021 / 2022,441
,,,2022 / 2023,579
,,,2023 / 2024,774
,,75 to 79 years,2014 / 2015,17
,,,2015 / 2016,65
,,,2016 / 2017,157
,,,2017 / 2018,197
,,,2018 / 2019,197
,,,2019 / 2020,201
,,,2020 / 2021,171
,,,2021 / 2022,243
,,,2022 / 2023,427
,,,2023 / 2024,463
,,80 to 84 years,2014 / 2015,1
,,,2015 / 2016,40
,,,2016 / 2017,81
,,,2017 / 2018,110
,,,2018 / 2019,105
,,,2019 / 2020,112
,,,2020 / 2021,93
,,,2021 / 2022,187
,,,2022 / 2023,247
,,,2023 / 2024,292
,,85 to 89 years,2014 / 2015,-32
,,,2015 / 2016,-17
,,,2016 / 2017,51
,,,2017 / 2018,73
,,,2018 / 2019,71
,,,2019 / 2020,63
,,,2020 / 2021,60
,,,2021 / 2022,106
,,,2022 / 2023,171
,,,2023 / 2024,192
,,90 years and older,2014 / 2015,7
,,,2015 / 2016,16
,,,2016 / 2017,40
,,,2017 / 2018,48
,,,2018 / 2019,46
,,,2019 / 2020,49
,,,2020 / 2021,41
,,,2021 / 2022,67
,,,2022 / 2023,72
,,,2023 / 2024,102
British Columbia,Men,0 years,2014 / 2015,171
,,,2015 / 2016,213
,,,2016 / 2017,166
,,,2017 / 2018,118
,,,2018 / 2019,133
,,,2019 / 2020,147
,,,2020 / 2021,226
,,,2021 / 2022,37
,,,2022 / 2023,-194
,,,2023 / 2024,-195
,,1 year,2014 / 2015,167
,,,2015 / 2016,202
,,,2016 / 2017,152
,,,2017 / 2018,111
,,,2018 / 2019,122
,,,2019 / 2020,135
,,,2020 / 2021,208
,,,2021 / 2022,35
,,,2022 / 2023,-83
,,,2023 / 2024,-160
,,2 years,2014 / 2015,157
,,,2015 / 2016,193
,,,2016 / 2017,140
,,,2017 / 2018,104
,,,2018 / 2019,112
,,,2019 / 2020,126
,,,2020 / 2021,189
,,,2021 / 2022,87
,,,2022 / 2023,-109
,,,2023 / 2024,-146
,,3 years,2014 / 2015,150
,,,2015 / 2016,186
,,,2016 / 2017,133
,,,2017 / 2018,93
,,,2018 / 2019,106
,,,2019 / 2020,115
,,,2020 / 2021,178
,,,2021 / 2022,114
,,,2022 / 2023,-43
,,,2023 / 2024,-95
,,4 years,2014 / 2015,149
,,,2015 / 2016,175
,,,2016 / 2017,121
,,,2017 / 2018,85
,,,2018 / 2019,98
,,,2019 / 2020,102
,,,2020 / 2021,161
,,,2021 / 2022,129
,,,2022 / 2023,-8
,,,2023 / 2024,-81
,,5 to 9 years,2014 / 2015,609
,,,2015 / 2016,715
,,,2016 / 2017,451
,,,2017 / 2018,299
,,,2018 / 2019,358
,,,2019 / 2020,390
,,,2020 / 2021,632
,,,2021 / 2022,764
,,,2022 / 2023,-40
,,,2023 / 2024,-320
,,10 to 14 years,2014 / 2015,411
,,,2015 / 2016,483
,,,2016 / 2017,222
,,,2017 / 2018,115
,,,2018 / 2019,151
,,,2019 / 2020,179
,,,2020 / 2021,391
,,,2021 / 2022,600
,,,2022 / 2023,-2
,,,2023 / 2024,-251
,,15 to 19 years,2014 / 2015,165
,,,2015 / 2016,434
,,,2016 / 2017,43
,,,2017 / 2018,-77
,,,2018 / 2019,-49
,,,2019 / 2020,-99
,,,2020 / 2021,131
,,,2021 / 2022,397
,,,2022 / 2023,-36
,,,2023 / 2024,-242
,,20 to 24 years,2014 / 2015,476
,,,2015 / 2016,"1,220"
,,,2016 / 2017,"1,203"
,,,2017 / 2018,"1,075"
,,,2018 / 2019,985
,,,2019 / 2020,803
,,,2020 / 2021,877
,,,2021 / 2022,"1,264"
,,,2022 / 2023,369
,,,2023 / 2024,-491
,,25 to 29 years,2014 / 2015,974
,,,2015 / 2016,"2,017"
,,,2016 / 2017,"1,665"
,,,2017 / 2018,"1,346"
,,,2018 / 2019,"1,086"
,,,2019 / 2020,"1,642"
,,,2020 / 2021,"2,530"
,,,2021 / 2022,"2,444"
,,,2022 / 2023,"1,191"
,,,2023 / 2024,61
,,30 to 34 years,2014 / 2015,654
,,,2015 / 2016,"1,346"
,,,2016 / 2017,"1,280"
,,,2017 / 2018,"1,043"
,,,2018 / 2019,863
,,,2019 / 2020,"1,250"
,,,2020 / 2021,"1,850"
,,,2021 / 2022,"1,951"
,,,2022 / 2023,478
,,,2023 / 2024,-331
,,35 to 39 years,2014 / 2015,767
,,,2015 / 2016,"1,267"
,,,2016 / 2017,667
,,,2017 / 2018,511
,,,2018 / 2019,385
,,,2019 / 2020,635
,,,2020 / 2021,"1,086"
,,,2021 / 2022,"1,420"
,,,2022 / 2023,275
,,,2023 / 2024,-325
,,40 to 44 years,2014 / 2015,763
,,,2015 / 2016,"1,156"
,,,2016 / 2017,698
,,,2017 / 2018,597
,,,2018 / 2019,505
,,,2019 / 2020,721
,,,2020 / 2021,"1,014"
,,,2021 / 2022,"1,098"
,,,2022 / 2023,165
,,,2023 / 2024,-224
,,45 to 49 years,2014 / 2015,589
,,,2015 / 2016,743
,,,2016 / 2017,632
,,,2017 / 2018,488
,,,2018 / 2019,434
,,,2019 / 2020,556
,,,2020 / 2021,680
,,,2021 / 2022,776
,,,2022 / 2023,187
,,,2023 / 2024,-113
,,50 to 54 years,2014 / 2015,687
,,,2015 / 2016,810
,,,2016 / 2017,631
,,,2017 / 2018,490
,,,2018 / 2019,446
,,,2019 / 2020,551
,,,2020 / 2021,657
,,,2021 / 2022,509
,,,2022 / 2023,208
,,,2023 / 2024,-108
,,55 to 59 years,2014 / 2015,858
,,,2015 / 2016,960
,,,2016 / 2017,743
,,,2017 / 2018,602
,,,2018 / 2019,555
,,,2019 / 2020,662
,,,2020 / 2021,755
,,,2021 / 2022,768
,,,2022 / 2023,220
,,,2023 / 2024,-21
,,60 to 64 years,2014 / 2015,557
,,,2015 / 2016,625
,,,2016 / 2017,527
,,,2017 / 2018,408
,,,2018 / 2019,377
,,,2019 / 2020,455
,,,2020 / 2021,548
,,,2021 / 2022,655
,,,2022 / 2023,115
,,,2023 / 2024,-106
,,65 to 69 years,2014 / 2015,709
,,,2015 / 2016,537
,,,2016 / 2017,327
,,,2017 / 2018,122
,,,2018 / 2019,148
,,,2019 / 2020,203
,,,2020 / 2021,347
,,,2021 / 2022,351
,,,2022 / 2023,-62
,,,2023 / 2024,-241
,,70 to 74 years,2014 / 2015,336
,,,2015 / 2016,242
,,,2016 / 2017,158
,,,2017 / 2018,50
,,,2018 / 2019,53
,,,2019 / 2020,92
,,,2020 / 2021,177
,,,2021 / 2022,-11
,,,2022 / 2023,-214
,,,2023 / 2024,-342
,,75 to 79 years,2014 / 2015,223
,,,2015 / 2016,136
,,,2016 / 2017,31
,,,2017 / 2018,-46
,,,2018 / 2019,-37
,,,2019 / 2020,-17
,,,2020 / 2021,33
,,,2021 / 2022,-111
,,,2022 / 2023,-164
,,,2023 / 2024,-262
,,80 to 84 years,2014 / 2015,173
,,,2015 / 2016,135
,,,2016 / 2017,-7
,,,2017 / 2018,-44
,,,2018 / 2019,-33
,,,2019 / 2020,-28
,,,2020 / 2021,0
,,,2021 / 2022,-46
,,,2022 / 2023,-65
,,,2023 / 2024,-121
,,85 to 89 years,2014 / 2015,-8
,,,2015 / 2016,-32
,,,2016 / 2017,37
,,,2017 / 2018,23
,,,2018 / 2019,24
,,,2019 / 2020,29
,,,2020 / 2021,34
,,,2021 / 2022,-12
,,,2022 / 2023,-42
,,,2023 / 2024,-70
,,90 years and older,2014 / 2015,32
,,,2015 / 2016,26
,,,2016 / 2017,-26
,,,2017 / 2018,-38
,,,2018 / 2019,-34
,,,2019 / 2020,-35
,,,2020 / 2021,-23
,,,2021 / 2022,-14
,,,2022 / 2023,-15
,,,2023 / 2024,-25
,Women,0 years,2014 / 2015,176
,,,2015 / 2016,208
,,,2016 / 2017,62
,,,2017 / 2018,5
,,,2018 / 2019,19
,,,2019 / 2020,37
,,,2020 / 2021,122
,,,2021 / 2022,10
,,,2022 / 2023,-108
,,,2023 / 2024,-193
,,1 year,2014 / 2015,162
,,,2015 / 2016,186
,,,2016 / 2017,93
,,,2017 / 2018,44
,,,2018 / 2019,47
,,,2019 / 2020,69
,,,2020 / 2021,146
,,,2021 / 2022,94
,,,2022 / 2023,-159
,,,2023 / 2024,-162
,,2 years,2014 / 2015,147
,,,2015 / 2016,172
,,,2016 / 2017,114
,,,2017 / 2018,68
,,,2018 / 2019,71
,,,2019 / 2020,94
,,,2020 / 2021,159
,,,2021 / 2022,78
,,,2022 / 2023,-42
,,,2023 / 2024,-96
,,3 years,2014 / 2015,137
,,,2015 / 2016,156
,,,2016 / 2017,125
,,,2017 / 2018,82
,,,2018 / 2019,84
,,,2019 / 2020,107
,,,2020 / 2021,166
,,,2021 / 2022,141
,,,2022 / 2023,-45
,,,2023 / 2024,-78
,,4 years,2014 / 2015,129
,,,2015 / 2016,146
,,,2016 / 2017,134
,,,2017 / 2018,91
,,,2018 / 2019,92
,,,2019 / 2020,115
,,,2020 / 2021,169
,,,2021 / 2022,116
,,,2022 / 2023,-63
,,,2023 / 2024,-96
,,5 to 9 years,2014 / 2015,552
,,,2015 / 2016,611
,,,2016 / 2017,555
,,,2017 / 2018,407
,,,2018 / 2019,404
,,,2019 / 2020,494
,,,2020 / 2021,716
,,,2021 / 2022,617
,,,2022 / 2023,-130
,,,2023 / 2024,-335
,,10 to 14 years,2014 / 2015,465
,,,2015 / 2016,524
,,,2016 / 2017,251
,,,2017 / 2018,107
,,,2018 / 2019,130
,,,2019 / 2020,179
,,,2020 / 2021,392
,,,2021 / 2022,604
,,,2022 / 2023,-113
,,,2023 / 2024,-255
,,15 to 19 years,2014 / 2015,277
,,,2015 / 2016,415
,,,2016 / 2017,274
,,,2017 / 2018,114
,,,2018 / 2019,169
,,,2019 / 2020,188
,,,2020 / 2021,381
,,,2021 / 2022,433
,,,2022 / 2023,-16
,,,2023 / 2024,-246
,,20 to 24 years,2014 / 2015,741
,,,2015 / 2016,"1,079"
,,,2016 / 2017,964
,,,2017 / 2018,829
,,,2018 / 2019,983
,,,2019 / 2020,899
,,,2020 / 2021,840
,,,2021 / 2022,"1,230"
,,,2022 / 2023,463
,,,2023 / 2024,-612
,,25 to 29 years,2014 / 2015,935
,,,2015 / 2016,"1,582"
,,,2016 / 2017,"1,236"
,,,2017 / 2018,906
,,,2018 / 2019,853
,,,2019 / 2020,"1,314"
,,,2020 / 2021,"2,365"
,,,2021 / 2022,"2,742"
,,,2022 / 2023,"1,107"
,,,2023 / 2024,26
,,30 to 34 years,2014 / 2015,"1,246"
,,,2015 / 2016,"1,636"
,,,2016 / 2017,"1,150"
,,,2017 / 2018,925
,,,2018 / 2019,871
,,,2019 / 2020,"1,205"
,,,2020 / 2021,"1,843"
,,,2021 / 2022,"1,729"
,,,2022 / 2023,372
,,,2023 / 2024,-447
,,35 to 39 years,2014 / 2015,697
,,,2015 / 2016,992
,,,2016 / 2017,670
,,,2017 / 2018,513
,,,2018 / 2019,494
,,,2019 / 2020,711
,,,2020 / 2021,"1,166"
,,,2021 / 2022,"1,365"
,,,2022 / 2023,103
,,,2023 / 2024,-334
,,40 to 44 years,2014 / 2015,560
,,,2015 / 2016,769
,,,2016 / 2017,590
,,,2017 / 2018,478
,,,2018 / 2019,470
,,,2019 / 2020,640
,,,2020 / 2021,938
,,,2021 / 2022,907
,,,2022 / 2023,130
,,,2023 / 2024,-198
,,45 to 49 years,2014 / 2015,743
,,,2015 / 2016,800
,,,2016 / 2017,596
,,,2017 / 2018,510
,,,2018 / 2019,458
,,,2019 / 2020,536
,,,2020 / 2021,691
,,,2021 / 2022,745
,,,2022 / 2023,115
,,,2023 / 2024,-114
,,50 to 54 years,2014 / 2015,798
,,,2015 / 2016,860
,,,2016 / 2017,706
,,,2017 / 2018,621
,,,2018 / 2019,571
,,,2019 / 2020,648
,,,2020 / 2021,821
,,,2021 / 2022,642
,,,2022 / 2023,250
,,,2023 / 2024,-49
,,55 to 59 years,2014 / 2015,689
,,,2015 / 2016,726
,,,2016 / 2017,461
,,,2017 / 2018,374
,,,2018 / 2019,336
,,,2019 / 2020,402
,,,2020 / 2021,603
,,,2021 / 2022,774
,,,2022 / 2023,152
,,,2023 / 2024,-67
,,60 to 64 years,2014 / 2015,735
,,,2015 / 2016,761
,,,2016 / 2017,458
,,,2017 / 2018,384
,,,2018 / 2019,348
,,,2019 / 2020,418
,,,2020 / 2021,549
,,,2021 / 2022,536
,,,2022 / 2023,17
,,,2023 / 2024,-246
,,65 to 69 years,2014 / 2015,492
,,,2015 / 2016,397
,,,2016 / 2017,340
,,,2017 / 2018,222
,,,2018 / 2019,243
,,,2019 / 2020,345
,,,2020 / 2021,427
,,,2021 / 2022,267
,,,2022 / 2023,-213
,,,2023 / 2024,-387
,,70 to 74 years,2014 / 2015,170
,,,2015 / 2016,91
,,,2016 / 2017,113
,,,2017 / 2018,42
,,,2018 / 2019,51
,,,2019 / 2020,95
,,,2020 / 2021,146
,,,2021 / 2022,-95
,,,2022 / 2023,-211
,,,2023 / 2024,-424
,,75 to 79 years,2014 / 2015,212
,,,2015 / 2016,162
,,,2016 / 2017,-128
,,,2017 / 2018,-183
,,,2018 / 2019,-163
,,,2019 / 2020,-150
,,,2020 / 2021,-98
,,,2021 / 2022,-48
,,,2022 / 2023,-192
,,,2023 / 2024,-263
,,80 to 84 years,2014 / 2015,255
,,,2015 / 2016,218
,,,2016 / 2017,-16
,,,2017 / 2018,-38
,,,2018 / 2019,-25
,,,2019 / 2020,-18
,,,2020 / 2021,-3
,,,2021 / 2022,-28
,,,2022 / 2023,-98
,,,2023 / 2024,-177
,,85 to 89 years,2014 / 2015,111
,,,2015 / 2016,79
,,,2016 / 2017,-61
,,,2017 / 2018,-90
,,,2018 / 2019,-79
,,,2019 / 2020,-70
,,,2020 / 2021,-53
,,,2021 / 2022,-38
,,,2022 / 2023,-48
,,,2023 / 2024,-118
,,90 years and older,2014 / 2015,4
,,,2015 / 2016,2
,,,2016 / 2017,11
,,,2017 / 2018,8
,,,2018 / 2019,9
,,,2019 / 2020,11
,,,2020 / 2021,19
,,,2021 / 2022,8
,,,2022 / 2023,-6
,,,2023 / 2024,-41
Yukon,Men,0 years,2014 / 2015,2
,,,2015 / 2016,0
,,,2016 / 2017,7
,,,2017 / 2018,4
,,,2018 / 2019,4
,,,2019 / 2020,6
,,,2020 / 2021,0
,,,2021 / 2022,-2
,,,2022 / 2023,2
,,,2023 / 2024,-2
,,1 year,2014 / 2015,1
,,,2015 / 2016,2
,,,2016 / 2017,8
,,,2017 / 2018,4
,,,2018 / 2019,6
,,,2019 / 2020,7
,,,2020 / 2021,1
,,,2021 / 2022,4
,,,2022 / 2023,8
,,,2023 / 2024,1
,,2 years,2014 / 2015,3
,,,2015 / 2016,2
,,,2016 / 2017,8
,,,2017 / 2018,5
,,,2018 / 2019,5
,,,2019 / 2020,5
,,,2020 / 2021,4
,,,2021 / 2022,-1
,,,2022 / 2023,0
,,,2023 / 2024,-6
,,3 years,2014 / 2015,-1
,,,2015 / 2016,4
,,,2016 / 2017,7
,,,2017 / 2018,3
,,,2018 / 2019,5
,,,2019 / 2020,5
,,,2020 / 2021,3
,,,2021 / 2022,3
,,,2022 / 2023,8
,,,2023 / 2024,0
,,4 years,2014 / 2015,0
,,,2015 / 2016,2
,,,2016 / 2017,7
,,,2017 / 2018,4
,,,2018 / 2019,6
,,,2019 / 2020,6
,,,2020 / 2021,3
,,,2021 / 2022,0
,,,2022 / 2023,9
,,,2023 / 2024,0
,,5 to 9 years,2014 / 2015,10
,,,2015 / 2016,6
,,,2016 / 2017,23
,,,2017 / 2018,13
,,,2018 / 2019,15
,,,2019 / 2020,20
,,,2020 / 2021,4
,,,2021 / 2022,6
,,,2022 / 2023,-6
,,,2023 / 2024,-3
,,10 to 14 years,2014 / 2015,8
,,,2015 / 2016,10
,,,2016 / 2017,1
,,,2017 / 2018,-16
,,,2018 / 2019,-2
,,,2019 / 2020,4
,,,2020 / 2021,-11
,,,2021 / 2022,28
,,,2022 / 2023,-16
,,,2023 / 2024,-3
,,15 to 19 years,2014 / 2015,22
,,,2015 / 2016,31
,,,2016 / 2017,20
,,,2017 / 2018,-6
,,,2018 / 2019,0
,,,2019 / 2020,24
,,,2020 / 2021,15
,,,2021 / 2022,9
,,,2022 / 2023,-12
,,,2023 / 2024,-8
,,20 to 24 years,2014 / 2015,-19
,,,2015 / 2016,21
,,,2016 / 2017,54
,,,2017 / 2018,7
,,,2018 / 2019,18
,,,2019 / 2020,77
,,,2020 / 2021,77
,,,2021 / 2022,32
,,,2022 / 2023,54
,,,2023 / 2024,34
,,25 to 29 years,2014 / 2015,9
,,,2015 / 2016,14
,,,2016 / 2017,49
,,,2017 / 2018,24
,,,2018 / 2019,29
,,,2019 / 2020,48
,,,2020 / 2021,40
,,,2021 / 2022,68
,,,2022 / 2023,60
,,,2023 / 2024,42
,,30 to 34 years,2014 / 2015,11
,,,2015 / 2016,17
,,,2016 / 2017,50
,,,2017 / 2018,35
,,,2018 / 2019,40
,,,2019 / 2020,46
,,,2020 / 2021,43
,,,2021 / 2022,15
,,,2022 / 2023,39
,,,2023 / 2024,0
,,35 to 39 years,2014 / 2015,37
,,,2015 / 2016,50
,,,2016 / 2017,43
,,,2017 / 2018,35
,,,2018 / 2019,39
,,,2019 / 2020,44
,,,2020 / 2021,43
,,,2021 / 2022,22
,,,2022 / 2023,22
,,,2023 / 2024,7
,,40 to 44 years,2014 / 2015,8
,,,2015 / 2016,2
,,,2016 / 2017,24
,,,2017 / 2018,13
,,,2018 / 2019,19
,,,2019 / 2020,23
,,,2020 / 2021,20
,,,2021 / 2022,23
,,,2022 / 2023,-7
,,,2023 / 2024,-11
,,45 to 49 years,2014 / 2015,-10
,,,2015 / 2016,-2
,,,2016 / 2017,13
,,,2017 / 2018,13
,,,2018 / 2019,5
,,,2019 / 2020,11
,,,2020 / 2021,22
,,,2021 / 2022,-2
,,,2022 / 2023,22
,,,2023 / 2024,0
,,50 to 54 years,2014 / 2015,8
,,,2015 / 2016,18
,,,2016 / 2017,6
,,,2017 / 2018,0
,,,2018 / 2019,-5
,,,2019 / 2020,-5
,,,2020 / 2021,9
,,,2021 / 2022,-4
,,,2022 / 2023,8
,,,2023 / 2024,-11
,,55 to 59 years,2014 / 2015,-6
,,,2015 / 2016,2
,,,2016 / 2017,-3
,,,2017 / 2018,-9
,,,2018 / 2019,-3
,,,2019 / 2020,-18
,,,2020 / 2021,-7
,,,2021 / 2022,-8
,,,2022 / 2023,-9
,,,2023 / 2024,-19
,,60 to 64 years,2014 / 2015,-10
,,,2015 / 2016,-4
,,,2016 / 2017,9
,,,2017 / 2018,11
,,,2018 / 2019,6
,,,2019 / 2020,4
,,,2020 / 2021,10
,,,2021 / 2022,-19
,,,2022 / 2023,2
,,,2023 / 2024,-24
,,65 to 69 years,2014 / 2015,-18
,,,2015 / 2016,-7
,,,2016 / 2017,-8
,,,2017 / 2018,-2
,,,2018 / 2019,-5
,,,2019 / 2020,-6
,,,2020 / 2021,-2
,,,2021 / 2022,-9
,,,2022 / 2023,-11
,,,2023 / 2024,-22
,,70 to 74 years,2014 / 2015,3
,,,2015 / 2016,7
,,,2016 / 2017,-10
,,,2017 / 2018,-6
,,,2018 / 2019,-3
,,,2019 / 2020,-9
,,,2020 / 2021,-2
,,,2021 / 2022,-11
,,,2022 / 2023,-10
,,,2023 / 2024,-15
,,75 to 79 years,2014 / 2015,-3
,,,2015 / 2016,-1
,,,2016 / 2017,-2
,,,2017 / 2018,-1
,,,2018 / 2019,-2
,,,2019 / 2020,-3
,,,2020 / 2021,-1
,,,2021 / 2022,-2
,,,2022 / 2023,-7
,,,2023 / 2024,-9
,,80 to 84 years,2014 / 2015,-2
,,,2015 / 2016,-1
,,,2016 / 2017,0
,,,2017 / 2018,0
,,,2018 / 2019,0
,,,2019 / 2020,0
,,,2020 / 2021,0
,,,2021 / 2022,-3
,,,2022 / 2023,2
,,,2023 / 2024,-2
,,85 to 89 years,2014 / 2015,0
,,,2015 / 2016,0
,,,2016 / 2017,0
,,,2017 / 2018,0
,,,2018 / 2019,0
,,,2019 / 2020,0
,,,2020 / 2021,0
,,,2021 / 2022,1
,,,2022 / 2023,0
,,,2023 / 2024,-1
,,90 years and older,2014 / 2015,0
,,,2015 / 2016,0
,,,2016 / 2017,0
,,,2017 / 2018,0
,,,2018 / 2019,0
,,,2019 / 2020,0
,,,2020 / 2021,0
,,,2021 / 2022,2
,,,2022 / 2023,1
,,,2023 / 2024,0
,Women,0 years,2014 / 2015,17
,,,2015 / 2016,15
,,,2016 / 2017,0
,,,2017 / 2018,-2
,,,2018 / 2019,-5
,,,2019 / 2020,-6
,,,2020 / 2021,-1
,,,2021 / 2022,-2
,,,2022 / 2023,10
,,,2023 / 2024,2
,,1 year,2014 / 2015,13
,,,2015 / 2016,10
,,,2016 / 2017,1
,,,2017 / 2018,1
,,,2018 / 2019,-1
,,,2019 / 2020,-3
,,,2020 / 2021,2
,,,2021 / 2022,-2
,,,2022 / 2023,10
,,,2023 / 2024,-4
,,2 years,2014 / 2015,11
,,,2015 / 2016,7
,,,2016 / 2017,2
,,,2017 / 2018,3
,,,2018 / 2019,2
,,,2019 / 2020,1
,,,2020 / 2021,2
,,,2021 / 2022,-6
,,,2022 / 2023,-5
,,,2023 / 2024,-7
,,3 years,2014 / 2015,4
,,,2015 / 2016,5
,,,2016 / 2017,2
,,,2017 / 2018,4
,,,2018 / 2019,3
,,,2019 / 2020,6
,,,2020 / 2021,4
,,,2021 / 2022,-1
,,,2022 / 2023,8
,,,2023 / 2024,-2
,,4 years,2014 / 2015,2
,,,2015 / 2016,2
,,,2016 / 2017,3
,,,2017 / 2018,5
,,,2018 / 2019,5
,,,2019 / 2020,7
,,,2020 / 2021,4
,,,2021 / 2022,2
,,,2022 / 2023,2
,,,2023 / 2024,1
,,5 to 9 years,2014 / 2015,-30
,,,2015 / 2016,-29
,,,2016 / 2017,26
,,,2017 / 2018,26
,,,2018 / 2019,34
,,,2019 / 2020,25
,,,2020 / 2021,17
