Geography,Gender,Age group,Reference period,Net-migration
,,,2018 / 2019,14
,,,2019 / 2020,12
,,,2020 / 2021,23
,,,2021 / 2022,76
,,,2022 / 2023,42
,,,2023 / 2024,14
,,10 to 14 years,2014 / 2015,-68
,,,2015 / 2016,-41
,,,2016 / 2017,28
,,,2017 / 2018,9
,,,2018 / 2019,17
,,,2019 / 2020,8
,,,2020 / 2021,16
,,,2021 / 2022,33
,,,2022 / 2023,24
,,,2023 / 2024,-7
,,15 to 19 years,2014 / 2015,-74
,,,2015 / 2016,-52
,,,2016 / 2017,-33
,,,2017 / 2018,-40
,,,2018 / 2019,-15
,,,2019 / 2020,-7
,,,2020 / 2021,-2
,,,2021 / 2022,34
,,,2022 / 2023,6
,,,2023 / 2024,-16
,,20 to 24 years,2014 / 2015,-138
,,,2015 / 2016,-91
,,,2016 / 2017,-32
,,,2017 / 2018,-5
,,,2018 / 2019,81
,,,2019 / 2020,185
,,,2020 / 2021,175
,,,2021 / 2022,83
,,,2022 / 2023,335
,,,2023 / 2024,75
,,25 to 29 years,2014 / 2015,-78
,,,2015 / 2016,-32
,,,2016 / 2017,46
,,,2017 / 2018,31
,,,2018 / 2019,38
,,,2019 / 2020,46
,,,2020 / 2021,76
,,,2021 / 2022,12
,,,2022 / 2023,-7
,,,2023 / 2024,-78
,,30 to 34 years,2014 / 2015,50
,,,2015 / 2016,81
,,,2016 / 2017,22
,,,2017 / 2018,15
,,,2018 / 2019,23
,,,2019 / 2020,30
,,,2020 / 2021,47
,,,2021 / 2022,75
,,,2022 / 2023,74
,,,2023 / 2024,1
,,35 to 39 years,2014 / 2015,-63
,,,2015 / 2016,-49
,,,2016 / 2017,-3
,,,2017 / 2018,-24
,,,2018 / 2019,-8
,,,2019 / 2020,-7
,,,2020 / 2021,4
,,,2021 / 2022,104
,,,2022 / 2023,31
,,,2023 / 2024,13
,,40 to 44 years,2014 / 2015,-37
,,,2015 / 2016,-30
,,,2016 / 2017,-34
,,,2017 / 2018,-50
,,,2018 / 2019,-34
,,,2019 / 2020,-47
,,,2020 / 2021,-30
,,,2021 / 2022,49
,,,2022 / 2023,45
,,,2023 / 2024,-17
,,45 to 49 years,2014 / 2015,-8
,,,2015 / 2016,-3
,,,2016 / 2017,27
,,,2017 / 2018,19
,,,2018 / 2019,27
,,,2019 / 2020,29
,,,2020 / 2021,42
,,,2021 / 2022,-3
,,,2022 / 2023,33
,,,2023 / 2024,-27
,,50 to 54 years,2014 / 2015,2
,,,2015 / 2016,7
,,,2016 / 2017,28
,,,2017 / 2018,17
,,,2018 / 2019,19
,,,2019 / 2020,12
,,,2020 / 2021,31
,,,2021 / 2022,56
,,,2022 / 2023,18
,,,2023 / 2024,2
,,55 to 59 years,2014 / 2015,43
,,,2015 / 2016,53
,,,2016 / 2017,53
,,,2017 / 2018,43
,,,2018 / 2019,45
,,,2019 / 2020,46
,,,2020 / 2021,46
,,,2021 / 2022,113
,,,2022 / 2023,82
,,,2023 / 2024,48
,,60 to 64 years,2014 / 2015,18
,,,2015 / 2016,26
,,,2016 / 2017,9
,,,2017 / 2018,1
,,,2018 / 2019,4
,,,2019 / 2020,-10
,,,2020 / 2021,15
,,,2021 / 2022,130
,,,2022 / 2023,62
,,,2023 / 2024,40
,,65 to 69 years,2014 / 2015,37
,,,2015 / 2016,44
,,,2016 / 2017,8
,,,2017 / 2018,24
,,,2018 / 2019,13
,,,2019 / 2020,27
,,,2020 / 2021,44
,,,2021 / 2022,67
,,,2022 / 2023,41
,,,2023 / 2024,9
,,70 to 74 years,2014 / 2015,21
,,,2015 / 2016,30
,,,2016 / 2017,-6
,,,2017 / 2018,6
,,,2018 / 2019,4
,,,2019 / 2020,6
,,,2020 / 2021,13
,,,2021 / 2022,43
,,,2022 / 2023,29
,,,2023 / 2024,17
,,75 to 79 years,2014 / 2015,-43
,,,2015 / 2016,-34
,,,2016 / 2017,10
,,,2017 / 2018,15
,,,2018 / 2019,12
,,,2019 / 2020,20
,,,2020 / 2021,24
,,,2021 / 2022,23
,,,2022 / 2023,17
,,,2023 / 2024,5
,,80 to 84 years,2014 / 2015,2
,,,2015 / 2016,7
,,,2016 / 2017,5
,,,2017 / 2018,5
,,,2018 / 2019,3
,,,2019 / 2020,6
,,,2020 / 2021,8
,,,2021 / 2022,14
,,,2022 / 2023,2
,,,2023 / 2024,0
,,85 to 89 years,2014 / 2015,3
,,,2015 / 2016,3
,,,2016 / 2017,-5
,,,2017 / 2018,0
,,,2018 / 2019,0
,,,2019 / 2020,0
,,,2020 / 2021,5
,,,2021 / 2022,5
,,,2022 / 2023,9
,,,2023 / 2024,0
,,90 years and older,2014 / 2015,-22
,,,2015 / 2016,-25
,,,2016 / 2017,0
,,,2017 / 2018,3
,,,2018 / 2019,1
,,,2019 / 2020,1
,,,2020 / 2021,2
,,,2021 / 2022,-3
,,,2022 / 2023,3
,,,2023 / 2024,-2
Nova Scotia,Men,0 years,2014 / 2015,11
,,,2015 / 2016,25
,,,2016 / 2017,33
,,,2017 / 2018,32
,,,2018 / 2019,32
,,,2019 / 2020,32
,,,2020 / 2021,38
,,,2021 / 2022,50
,,,2022 / 2023,43
,,,2023 / 2024,6
,,1 year,2014 / 2015,1
,,,2015 / 2016,15
,,,2016 / 2017,26
,,,2017 / 2018,27
,,,2018 / 2019,26
,,,2019 / 2020,31
,,,2020 / 2021,42
,,,2021 / 2022,101
,,,2022 / 2023,52
,,,2023 / 2024,13
,,2 years,2014 / 2015,-5
,,,2015 / 2016,10
,,,2016 / 2017,23
,,,2017 / 2018,25
,,,2018 / 2019,23
,,,2019 / 2020,29
,,,2020 / 2021,42
,,,2021 / 2022,83
,,,2022 / 2023,7
,,,2023 / 2024,3
,,3 years,2014 / 2015,-7
,,,2015 / 2016,1
,,,2016 / 2017,22
,,,2017 / 2018,23
,,,2018 / 2019,22
,,,2019 / 2020,27
,,,2020 / 2021,41
,,,2021 / 2022,72
,,,2022 / 2023,27
,,,2023 / 2024,2
,,4 years,2014 / 2015,-10
,,,2015 / 2016,2
,,,2016 / 2017,20
,,,2017 / 2018,18
,,,2018 / 2019,20
,,,2019 / 2020,25
,,,2020 / 2021,39
,,,2021 / 2022,91
,,,2022 / 2023,24
,,,2023 / 2024,16
,,5 to 9 years,2014 / 2015,-35
,,,2015 / 2016,9
,,,2016 / 2017,82
,,,2017 / 2018,76
,,,2018 / 2019,82
,,,2019 / 2020,98
,,,2020 / 2021,136
,,,2021 / 2022,366
,,,2022 / 2023,254
,,,2023 / 2024,61
